"Keyword","Response"
"sick","I'm really sorry to hear that you're feeling unwell. It sounds tough to deal with health issues. If you'd like we can talk more about how you're feeling, or we could try playing a game to help take your mind off things for a bit. What would you prefer?"
"ill","I'm really sorry to hear that you're feeling unwell. It sounds tough to deal with health issues. If you'd like we can talk more about how you're feeling, or we could try playing a game to help take your mind off things for a bit. What would you prefer?"
"feeling unwell","I'm really sorry to hear that you're feeling unwell. It sounds tough to deal with health issues. If you'd like we can talk more about how you're feeling, or we could try playing a game to help take your mind off things for a bit. What would you prefer?"
"fever","I'm really sorry to hear that you're feeling unwell. It sounds tough to deal with health issues. If you'd like, we can talk more about how you're feeling, or we could try playing a game to help take your mind off things for a bit. What would you prefer?"
"nausea","I'm really sorry to hear that you're feeling unwell. It sounds tough to deal with health issues. If you'd like, we can talk more about how you're feeling, or we could try playing a game to help take your mind off things for a bit. What would you prefer?"
"vomiting","I'm really sorry to hear that you're feeling unwell. It sounds tough to deal with health issues. If you'd like, we can talk more about how you're feeling, or we could try playing a game to help take your mind off things for a bit. What would you prefer?"
"headache","I'm really sorry to hear that you're feeling unwell. It sounds tough to deal with health issues. If you'd like, we can talk more about how you're feeling, or we could try playing a game to help take your mind off things for a bit. What would you prefer?"
"dizzy","I'm really sorry to hear that you're feeling unwell. It sounds tough to deal with health issues. If you'd like, we can talk more about how you're feeling, or we could try playing a game to help take your mind off things for a bit. What would you prefer?"
"fatigue","I'm really sorry to hear that you're feeling unwell. It sounds tough to deal with health issues. If you'd like, we can talk more about how you're feeling, or we could try playing a game to help take your mind off things for a bit. What would you prefer?"
"chronic","I'm really sorry to hear that you're feeling unwell. It sounds tough to deal with health issues. If you'd like, we can talk more about how you're feeling, or we could try playing a game to help take your mind off things for a bit. What would you prefer?"
"condition","I'm really sorry to hear that you're feeling unwell. It sounds tough to deal with health issues. If you'd like, we can talk more about how you're feeling, or we could try playing a game to help take your mind off things for a bit. What would you prefer?"
"symptoms","I'm really sorry to hear that you're feeling unwell. It sounds tough to deal with health issues. If you'd like, we can talk more about how you're feeling, or we could try playing a game to help take your mind off things for a bit. What would you prefer?"
"discomfort","I'm really sorry to hear that you're feeling unwell. It sounds tough to deal with health issues. If you'd like, we can talk more about how you're feeling, or we could try playing a game to help take your mind off things for a bit. What would you prefer?"
"aches","I'm really sorry to hear that you're feeling unwell. It sounds tough to deal with health issues. If you'd like, we can talk more about how you're feeling, or we could try playing a game to help take your mind off things for a bit. What would you prefer?"
"flu","I'm really sorry to hear that you're feeling unwell. It sounds tough to deal with health issues. If you'd like, we can talk more about how you're feeling, or we could try playing a game to help take your mind off things for a bit. What would you prefer?"
"cold","I'm really sorry to hear that you're feeling unwell. It sounds tough to deal with health issues. If you'd like, we can talk more about how you're feeling, or we could try playing a game to help take your mind off things for a bit. What would you prefer?"
